Team,Position,Shirt number,Name,Minutes played,Games played,Full games played,Games started,Games where substituted,Yellow Cards,Red Cards,Second Yellows,Goals scored,Penalties scored,Own goals,Goals conceded while player on pitch,Tackles,Interceptions,Recoveries,Clearances,Successful tackles,Unssuccessful tackles,Last man,Successful duels,Duels lost,Successful aerial challenges,Unsuccessful aerial challenges,Offsides,Fouls suffered,Fouls committed,Penalties won,Penalties given away,Handballs committed,Fouls committed per card,Shots,Shots on target,Assists,Successful dribbles,Unsuccessful dribbles,Goals scored,From inside the area,From outside the area,Goals with left foot,Goals with right foot,Penalties scored,Goals scored with header,Goals from set piece,Crosses,Corners,Tackles,Duels,Man-to-man duels,Aerial duels,Passes,Short passes,Long passes,Through balls,Goals scored per attempt
Athletic Club,Goalkeeper,,Hodei Oleaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athletic Club,Goalkeeper,1,A. Remiro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athletic Club,Goalkeeper,13,Herrerín,2.79,31,31,31,0,1,0,0,0,0,0,32,0,0,228,27,0,0,0,3,3,18,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,19,887,128,759,1,0
Athletic Club,Goalkeeper,25,Unai Simón,630,7,7,7,0,2,0,0,0,0,0,13,0,1,54,3,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,155,49,106,0,0
Athletic Club,Defender,3,Núñez,1.063,12,11,11,1,4,0,0,0,0,0,15,12,28,50,57,11,4,0,19,19,43,26,0,2,16,0,0,1,7,9,3,0,2,0,0,0,0,0,0,0,0,0,1,0,15,107,38,69,536,457,78,1,0
Athletic Club,Defender,4,I. Martínez,2.903,33,32,33,1,12,0,0,0,0,0,40,14,68,182,143,26,27,0,108,54,94,73,0,55,38,2,3,1,21,21,4,0,4,1,0,0,0,0,0,0,0,0,15,0,53,329,162,167,1.44,1.074,361,5,0
Athletic Club,Defender,5,Yeray,2.614,30,28,30,2,10,0,0,0,0,0,30,16,63,138,144,30,25,2,76,50,101,69,0,24,31,0,0,0,21,7,3,0,5,1,0,0,0,0,0,0,0,0,4,0,55,296,126,170,1.284,1.051,233,0,0
Athletic Club,Defender,6,San José,1.716,33,15,16,18,7,0,0,0,0,0,23,6,21,99,34,25,17,0,52,89,66,36,2,8,34,0,0,0,16,11,3,0,5,7,0,0,0,0,0,0,0,0,11,0,42,243,141,102,707,637,64,6,0
Athletic Club,Defender,12,Yuri B.,3.12,35,33,35,2,9,1,0,2,0,0,40,9,43,270,71,32,15,0,154,100,78,41,3,78,38,0,0,0,12,22,6,2,32,24,2,0,1,1,0,0,0,0,100,2,48,373,254,119,1.367,1.273,92,2,1
Athletic Club,Defender,15,I. Lekue,210,4,2,2,2,1,0,0,0,0,0,4,0,4,11,10,2,3,0,10,10,5,4,0,3,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,10,2,5,29,20,9,85,75,10,0,0
Athletic Club,Defender,24,Balenziaga,520,11,4,6,7,0,0,0,0,0,0,7,2,2,25,17,6,4,0,13,13,5,4,1,1,10,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,10,35,26,9,177,150,27,0,0
Athletic Club,Midfielder,,Nolaskoain,465,8,3,4,5,2,1,0,2,0,0,11,6,10,26,18,8,3,0,13,11,15,12,0,1,5,0,0,0,3,4,3,0,2,1,2,0,0,0,0,2,0,0,0,0,11,51,24,27,276,253,23,0,2
Athletic Club,Midfielder,7,Beñat,2.045,27,10,25,17,8,0,0,1,0,0,28,1,24,178,10,24,23,0,72,98,21,17,1,17,30,0,1,1,13,13,3,2,9,6,0,1,0,1,0,0,1,0,50,65,48,208,170,38,1.166,1.013,151,2,1
Athletic Club,Midfielder,8,Iturraspe,97,3,0,1,3,1,0,0,0,0,0,4,0,6,8,2,2,0,0,3,3,5,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,13,6,7,80,77,3,0,0
Athletic Club,Midfielder,11,Córdoba,1.322,23,4,15,19,4,0,0,0,0,0,17,0,17,96,8,23,14,0,88,106,23,19,2,20,19,0,0,5,6,16,7,5,32,31,0,0,0,0,0,0,0,0,44,2,37,236,194,42,406,376,28,2,0
Athletic Club,Midfielder,14,Susaeta,1.38,22,6,15,16,2,1,1,1,0,0,18,1,12,70,4,10,7,0,46,71,4,18,3,13,12,0,0,0,5,11,6,2,16,21,1,0,1,0,0,0,0,0,69,41,17,139,117,22,524,503,21,0,1
Athletic Club,Midfielder,16,Dani García,2.482,29,23,29,6,13,0,0,0,0,0,27,8,48,188,47,34,23,0,85,92,57,34,0,26,46,0,0,1,29,1,0,0,3,1,0,0,0,0,0,0,0,0,5,0,57,268,177,91,1.396,1.201,195,0,0
Athletic Club,Midfielder,17,Mikel Rico,243,4,1,3,3,0,0,0,0,0,0,1,2,2,19,3,2,3,0,8,18,7,7,0,3,5,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,4,0,5,40,26,14,94,87,7,0,0
Athletic Club,Midfielder,18,De Marcos,2.426,30,20,28,10,4,2,1,1,0,0,32,4,27,118,47,32,28,2,80,101,38,33,9,11,39,0,0,1,13,7,2,2,10,16,1,0,0,1,0,0,0,0,78,0,60,252,181,71,1.028,934,94,0,1
Athletic Club,Midfielder,19,Ibai,2.033,32,9,23,23,0,0,0,3,0,0,21,1,10,127,22,11,9,0,50,75,10,18,0,12,6,0,0,0,0,35,14,4,19,23,2,1,2,1,0,0,0,0,88,47,21,153,125,28,717,631,82,4,1
Athletic Club,Midfielder,21,Capa,1.637,25,15,17,10,9,0,0,0,0,0,19,2,30,78,38,27,16,0,76,102,31,17,8,16,44,0,0,1,26,7,2,0,20,26,0,0,0,0,0,0,0,0,50,0,43,226,178,48,686,591,95,0,0
Athletic Club,Midfielder,22,Raúl García,2.379,33,14,27,19,13,0,0,9,2,0,24,1,21,123,36,39,22,0,126,168,192,140,10,60,98,1,0,4,46,63,35,3,12,15,8,1,1,6,2,2,0,0,28,0,61,626,294,332,892,799,85,8,4
Athletic Club,Midfielder,23,Unai López,325,7,1,3,6,1,0,0,0,0,0,8,3,1,25,1,6,2,0,17,14,2,7,1,4,1,0,0,0,1,3,2,0,5,2,0,0,0,0,0,0,0,0,11,1,8,40,31,9,242,213,29,0,0
Athletic Club,Midfielder,32,Iñigo Vicente,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athletic Club,Forward,,Gorka Guruzeta,45,6,0,0,6,0,0,0,0,0,0,3,0,2,2,0,1,0,0,1,6,3,10,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,7,13,9,9,0,0,0
Athletic Club,Forward,2,Kenan Kodro,151,11,0,0,11,0,0,0,1,0,0,2,0,0,6,0,1,2,0,6,12,7,8,1,2,5,0,0,0,0,3,1,0,1,1,1,0,0,1,0,0,0,0,0,0,3,33,18,15,46,45,1,0,1
Athletic Club,Forward,9,Williams,3.036,38,19,36,19,3,0,0,13,0,0,39,1,7,81,30,18,9,0,127,145,79,98,21,52,40,0,0,4,3,56,33,4,50,42,13,0,1,11,0,1,0,0,31,1,27,449,272,177,686,666,12,8,7
Athletic Club,Forward,10,Muniain ,2.385,34,16,27,18,7,0,0,7,1,0,35,3,13,158,6,19,9,0,169,139,6,30,1,79,27,3,0,2,10,20,12,4,63,41,7,0,1,6,1,0,0,0,27,17,28,344,308,36,1.187,1.126,51,10,6
Athletic Club,Forward,20,Aduriz,941,20,4,10,16,4,0,0,2,2,0,14,1,0,18,3,1,3,0,13,42,52,60,12,8,28,0,1,3,3,19,11,0,2,5,2,0,0,2,2,0,0,0,6,0,4,167,55,112,230,227,3,0,1
Atlético de Madrid,Goalkeeper,,Alex Dos Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Goalkeeper,1,Adán,90,1,1,1,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,17,0,0
